"gender","alwaysDepressed","alwaysAnxious","alwaysStressed","alwaysLoveAndCareForYourself","alwaysAccountableAndResponsibleForYourActions","alwaysCalm","extreAustraliayGoodAbilityToSense","alwaysHaveDigestiveProblems","myBodyIsHypermobileAndLovesToMove","alwaysHaveFun","alwaysSerious","extreAustraliayGoodCommunicator","iDontFeelParticularlyPleasedWithTheWayIAm","iAmIntenselyInterestedInOtherPeople","iFeelThatLifeIsVeryRewarding","iHaveVeryWarmFeelingsTowardsAlmostEveryone","iRarelyWakeUpFeelingRested","iAmNotParticularlyOptimisticAboutTheFuture","iFindMostThingsAmusing","iAmAlwaysCommittedAndInvolved","iDoNotThinkThatTheWorldIsAGoodPlace","iAmWellSatisfiedAboutEverythingInMyLife","iDontThinkILookAttractive","thereIsAGapBetweenWhatIWouldLikeToDoAndWhatIHaveDone","iAlwaysHaveACheerfulEffectOnOthers","iCanFitInFindTimeForEverythingIWantTo","iFeelThatIAmNotEspeciallyInControlOfMyLife","iFeelAbleToTakeAnythingOn","iFeelFullyMentallyAlert","iOftenExperienceJoyAndElation","iDontHaveAParticularSenseOfMeaningAndPurposeInMyLife","iFeelIHaveAGreatDealOfEnergy","iUsuallyHaveAGoodInfluenceOnEvents","iDontHaveFunWithOtherPeople","iDontHaveParticularlyHappyMemoriesOfThePast","onTheWholeIAmSatisfiedWithMyself","atTimesIThinkIAmNoGoodAtAll","iFeelThatIHaveANumberOfGoodQualities","iFeelIDoNotHaveMuchToBeProudOf","iCertainlyFeelUselessAtTimes","iFeelThatImAPersonOfWorth","iWishICouldHaveMoreRespectForMyself","allInAllIAmInclinedToThinkThatIAmAFailure","iTakeAPositiveAttitudeTowardMyself","leadersOughtToMakeUpTheirOwnMindsAndNotWasteTimeConsultingOther","betterDecisionsAreMadeWhenLeadersDiscussMattersWithOthersFirst","friendsUsuallyCantAgree","familyMembersUsuallyEnjoyDoingThingsTogether","iPreferNotToShareMyGoodIdeasWithOthers","iLikeToCooperateWithOthersOnProjects","itsFunToTakePartInRunningAClub","socialClubsHardlyEverWorkWell","itIsOftenDifficultWorkingWithOtherPeople","itIsMoreProductiveToWorkOnOnesOwn","teamWorkIsTheBestWayToGetResults","boysAndGirlsCanUsuallyWorkTogetherQuiteWell","involvementInJointProjectsIsVerySatisfying","itIsDifficultToArriveAtAnAgreedDecisionInGroups","committeesAreAWasteOfTime","iLikeToGetToKnowPeopleBetter","friendsOughtToBeConcernedAboutEachOthersWishes","peopleOfADifferentSexCanHardlyEverAgree","doYouFeelASenseOfPurposeAndMeaningInYourLife","doYouOftenFeelASenseOfGratitudeForTheGoodThingsHappenedInYourLi","doYouOftenExperienceASenseOfInnerPeaceAndCalmness","doYouBelieveInAHigherPowerOrDivineBeingThatInfluencesYourLife","howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki","howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends","doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded","howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV","doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer","iLikeMyCurrentLivingAccomodation","iPreferStayingInAQuietPlace","iLikeCookingFood","iAmOpenToEngagingInPracticesToExpandMyKnowledgeBase","iAmOpenToEngagingInPracticesWhichFocusOnMyInterestsAndBeliefs","iFeelLikeIRegularlyDedicateTimeToMaintainMyWellness","iWillinglySeekOpportunitiesWhichFeelMeaningfulAndRewardingToMe","alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai","alwaysMakingProgress","whenInAFriendshipIsYourRelationshipVeryIntimate","whenInASexualRelationshipIsYourRelationshipVeryIntimate","iFeelCapable","iAttemptToManageMyTimeToMaintainAHealthyWorkAndLifeBalance","happiness"
"Male",-1,-2,-1,0,2,-2,2,-2,0,0,-2,0,-2,-2,1,-2,0,-1,0,0,-1,0,0,-2,1,0,-2,0,2,1,-2,2,1,-1,0,0,-2,1,-2,-2,1,0,-2,2,-1,1,0,2,0,1,1,-2,-2,0,1,0,-2,1,-1,0,1,-1,2,1,0,"Yes","They complement each other","Rarely","Yes, I have family","At least once a week","Always",0,1,-2,1,1,0,1,1,1,1,-2,2,1,6.81127
"Male",-2,0,0,-1,0,0,0,-1,1,-1,-2,-2,-2,-2,-1,-2,0,0,-2,-1,2,-1,1,1,0,-2,1,-1,-2,-1,1,-2,-1,2,0,-1,0,0,0,0,0,1,-2,-2,0,0,-2,-1,0,-2,0,1,2,2,1,0,0,0,0,1,0,0,-2,2,0,"Yes","They are separate","Never","Yes, I have family","At least once a week","Sometimes",2,2,2,0,1,0,1,-2,0,0,1,1,0,-19.017
"Female",-2,1,1,0,0,-2,2,0,-2,-2,-2,-2,-2,0,1,2,0,0,0,0,0,-2,-2,0,-2,-1,0,1,2,1,-1,0,0,-2,-2,1,0,1,0,0,2,0,-2,1,-1,0,0,1,-2,-1,-2,-2,-2,-2,-1,2,-2,0,1,2,0,-2,0,2,1,"Yes","They conflict","Never","Yes, I have both","More than three times a week","Never",1,2,0,1,1,1,1,1,0,-2,1,2,1,-4.75459
"Male",-2,1,0,2,1,-2,2,1,0,1,-2,0,0,-1,1,1,0,-2,1,1,-2,2,-1,0,1,0,-2,1,1,1,-1,2,1,-1,-1,1,2,2,1,1,1,1,-2,2,1,2,-2,1,0,2,1,0,1,2,0,2,0,1,-2,2,2,-1,2,2,2,"Yes","They conflict","Sometimes","Yes, I have family","At least once a week","Always",1,2,1,2,2,1,2,1,1,2,1,2,1,4.19421
"Male",-2,-2,0,1,1,-2,0,0,1,-1,-2,1,-2,0,2,1,0,-1,0,1,-2,0,-2,2,0,0,0,0,1,1,-1,1,1,-2,-2,1,-1,1,-2,-1,0,1,-1,1,0,0,0,1,1,0,2,-2,0,0,2,2,0,-1,-1,0,1,-2,2,2,2,"Yes","They are separate","Never","No","More than three times a week","Always",1,2,0,1,1,0,2,1,0,0,0,1,1,-2.38074
"Male",-1,-1,-1,-2,2,0,2,-2,1,-2,-1,1,-2,1,1,0,1,-1,0,1,0,1,-1,0,0,2,1,1,2,0,1,0,1,-1,-2,1,0,2,0,0,2,0,-1,2,1,1,0,2,2,2,1,0,-2,1,2,2,0,0,-2,2,0,-1,1,0,-2,"Yes","They are separate","Sometimes","Yes, I have friends","At least once a week","Rarely",1,-2,1,1,1,1,1,1,-2,0,2,2,1,24.9129
"Female",-2,0,0,0,1,1,0,-2,-1,-2,0,1,-2,1,-2,0,-2,-2,1,0,0,0,1,-2,1,-2,-2,1,0,0,-2,0,1,-1,-2,0,0,1,-1,2,0,2,-1,0,0,1,-1,1,-1,2,1,1,0,0,0,1,0,0,0,2,1,-1,0,0,0,"No","They conflict","Rarely","Yes, I have family","At least once a month","Sometimes",1,-2,0,1,1,0,2,1,1,-2,-2,0,1,-10.2757
"Male",-1,-1,-1,1,1,1,1,-2,0,2,-1,0,0,0,2,2,1,0,0,2,-1,1,-1,1,1,2,0,1,0,1,-1,1,2,-2,-1,0,0,2,0,1,1,1,-2,2,0,2,1,2,-1,2,0,0,0,1,0,1,1,1,-2,0,1,-2,2,1,1,"Yes","They complement each other","Sometimes","Yes, I have family","More than three times a week","Never",1,0,1,1,1,0,1,0,0,0,1,2,1,0.359381
"Male",-2,-1,-1,1,1,1,-2,0,0,0,1,-2,0,1,2,1,-2,-2,1,0,-2,-2,-2,2,-2,-2,0,0,1,0,2,2,0,0,-2,0,-2,0,0,-2,2,1,-1,1,0,1,1,0,0,1,1,-2,-1,-2,1,0,1,-2,0,2,1,0,0,1,0,"Yes","They complement each other","Sometimes","Yes, I have both","More than three times a week","Rarely",0,2,2,1,1,0,2,2,0,0,-2,1,1,-17.0641
"Female",-1,-1,-1,2,1,0,0,-2,1,1,0,0,-1,-1,2,0,-1,-1,-2,1,-1,2,-1,0,0,1,-1,1,0,1,-1,1,1,-1,-1,1,-1,0,-1,-2,1,-1,-2,2,1,-1,-1,0,-1,-2,-2,-1,-1,-2,-1,0,0,0,-1,0,1,-1,1,1,2,"Yes","They complement each other","Sometimes","Yes, I have both","At least once a month","Always",2,1,-2,2,1,2,2,2,1,0,2,1,2,-0.751035
"Female",-1,-1,0,1,0,-1,1,-2,-2,-2,-1,-2,1,-1,0,-1,0,2,-2,-1,1,-2,0,1,-2,-2,0,-1,1,0,-1,-2,-1,-2,-2,1,-2,1,-1,1,0,-2,-1,0,-2,0,0,1,1,0,-1,1,1,2,-2,0,-1,1,2,-2,-2,-2,1,0,0,"Yes","They complement each other","Never","Yes, I have both","At least once a month","Never",1,0,0,0,0,0,1,1,0,-2,-2,0,-1,-3.43727
"Male",-2,-1,-1,1,2,1,0,-2,2,0,-2,0,0,1,2,2,0,-1,0,2,-1,0,-1,-2,2,1,0,1,1,1,-2,2,1,0,-2,0,1,2,1,1,2,1,-1,2,1,1,1,2,0,0,2,0,1,0,1,0,0,0,0,1,2,-2,2,0,0,"No","They are separate","Never","Yes, I have family","Rarely","Never",-2,2,1,1,1,1,2,1,2,1,2,2,2,-1.67451
"Male",-1,0,-2,1,2,1,1,-1,0,-2,1,2,0,2,0,2,-2,-1,0,1,0,0,0,0,1,1,0,1,1,0,-1,-2,2,-1,-2,0,0,1,1,1,-1,0,1,1,-1,1,-2,1,-2,2,2,0,-1,-1,1,2,1,-1,-1,2,1,-2,0,0,0,"No","They conflict","Never","Yes, I have both","At least once a week","Never",0,1,1,1,1,-2,0,2,1,2,0,1,0,2.46798
"Male",0,-2,1,-2,0,-1,0,0,-2,0,2,0,0,1,1,2,0,0,0,1,-2,-1,1,2,0,1,1,0,0,-1,-2,0,0,0,0,-1,2,0,-2,2,1,2,0,-2,-2,0,1,0,-2,0,1,2,1,1,1,0,1,2,1,1,0,-1,0,1,0,"Yes","They conflict","Sometimes","Yes, I have family","More than three times a week","Sometimes",1,1,0,0,1,-2,1,0,-2,1,0,0,-1,-8.05833
"Female",-2,0,-1,1,2,0,2,2,1,2,-2,1,-2,0,2,1,1,-1,2,0,-1,2,-2,-2,1,2,1,0,0,1,1,2,1,-1,-2,1,0,2,-2,0,1,2,-1,1,-2,0,0,1,-2,2,1,1,-2,1,1,1,-2,0,0,1,1,-1,1,1,1,"Yes","They are separate","Rarely","Yes, I have both","At least once a month","Never",2,1,1,1,1,0,2,2,2,0,1,1,0,1.72418
"Female",-1,-2,0,0,1,-1,0,0,0,-2,0,0,-2,0,0,0,0,-1,0,1,-2,-1,1,1,0,-2,1,0,1,0,0,-2,0,-2,-2,0,1,1,0,1,1,0,1,1,-1,1,-1,0,0,1,0,1,-2,-2,0,0,-2,-2,-2,1,2,-2,0,1,0,"Yes","They complement each other","Rarely","Yes, I have both","At least once a month","Rarely",1,2,1,1,1,0,2,1,0,1,-2,1,1,-9.12917
"Male",1,0,0,1,0,-2,0,-1,-2,-2,1,-2,0,-2,-2,0,-2,-1,0,0,2,-2,0,1,0,0,1,0,-2,-1,1,-2,0,-1,-2,2,0,1,-2,-2,0,0,0,-2,-2,1,1,0,0,0,0,-2,-1,-2,0,0,0,-2,0,-2,0,-1,-2,1,2,"Yes","They complement each other","Rarely","Yes, I have family","Rarely","Rarely",1,0,-2,1,1,0,0,0,-2,2,0,0,0,15.4372
"Male",0,-2,1,-2,2,-1,0,0,0,0,0,1,-2,0,-2,2,0,-2,-2,2,0,0,-2,0,2,-2,1,1,1,0,-2,0,1,-1,-1,0,0,2,0,0,2,-2,-2,1,-1,1,1,1,0,2,0,-1,-1,-1,2,1,2,-1,-2,-2,1,-2,1,1,1,"No","They complement each other","Always","Yes, I have family","Rarely","Rarely",2,0,1,2,1,0,1,1,0,1,2,1,-1,-4.00034
"Male",-2,-1,-1,2,1,1,1,-1,2,1,-1,2,-1,1,2,1,-2,-1,2,1,-1,1,-1,-2,2,1,-1,1,1,2,-2,2,1,-1,0,1,1,2,-1,0,2,0,-1,1,-1,1,-2,0,-2,-2,2,-1,0,0,-2,1,0,0,0,1,2,-2,1,0,2,"Yes","They complement each other","Sometimes","Yes, I have both","At least once a week","Always",1,2,1,0,0,0,1,0,1,1,2,1,2,9.02613
"Male",-1,-2,-1,-2,0,1,0,-2,1,-2,0,2,-1,1,-2,1,1,-2,0,0,0,2,-2,-2,0,0,-2,0,0,0,-1,0,1,-2,0,2,-2,1,-2,-1,0,-2,0,1,1,1,-1,1,-1,1,0,0,0,0,2,0,2,0,-1,2,1,-2,0,2,0,"No","They complement each other","Sometimes","Yes, I have family","At least once a week","Sometimes",0,0,-2,1,1,1,1,-2,-1,1,1,1,1,-5.89158
"Male",-2,-2,1,2,1,1,1,0,0,0,2,2,-1,1,2,1,-1,-2,0,1,-2,0,-1,2,1,1,-2,1,1,0,-1,1,0,-1,-1,1,-1,1,-1,-1,1,-2,-1,2,-2,0,-1,1,-1,1,0,-2,-1,-2,1,1,2,-2,-2,2,1,-2,2,2,2,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a month","Never",1,-2,1,2,1,0,2,0,0,1,0,1,1,-5.86966
"Female",-2,-2,-1,1,2,0,0,0,-1,0,-2,0,-2,1,0,-2,0,1,2,1,-1,2,-1,-2,1,0,-1,0,0,0,-2,0,0,-1,-1,0,-1,0,-1,-1,1,1,-1,0,-2,0,-1,1,-2,1,0,-2,0,0,1,1,1,0,1,0,1,-1,2,1,1,"Yes","They are separate","Sometimes","Yes, I have family","At least once a week","Sometimes",2,1,2,1,1,1,1,0,1,0,1,0,1,2.06208
"Female",0,-2,1,0,1,-2,2,0,-2,-1,-1,-2,0,0,0,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,1,0,0,-1,-2,0,0,-2,1,0,-1,1,-1,-1,1,0,-2,-2,-2,0,-2,0,-2,0,-1,0,1,1,0,1,-2,0,-1,0,1,-1,1,0,-1,"Yes","They conflict","Never","Yes, I have both","More than three times a week","Rarely",-2,0,1,0,0,-2,0,0,1,0,0,0,0,0.889128
"Female",-1,-1,0,0,1,-2,1,-2,0,1,0,2,-2,-2,-1,0,0,0,1,0,-1,0,0,1,1,2,-2,0,-2,1,-2,-2,0,-2,-2,0,0,0,1,0,0,0,-2,0,-2,-1,-1,1,0,1,0,1,0,-2,2,-2,0,1,0,-2,0,0,1,1,0,"Yes","They are separate","Rarely","No","At least once a week","Rarely",0,-2,0,0,0,-2,-1,0,0,1,1,0,-1,-15.9976
"Male",-2,-2,-2,2,0,1,1,-1,1,1,1,-1,0,-2,0,0,0,0,-2,1,0,-2,0,0,0,0,-2,1,-2,0,-2,0,1,0,-1,1,-2,1,0,1,0,0,0,1,0,2,-2,2,0,1,0,1,-2,0,1,0,2,-2,-1,2,0,-2,1,1,1,"No","They conflict","Never","Yes, I have family","More than three times a week","Never",0,1,1,2,2,1,1,1,0,1,1,1,1,9.38791
"Female",0,1,1,-2,1,-1,0,2,-2,-1,0,-1,-2,1,0,-2,1,0,-2,0,1,-1,0,2,-1,-2,2,-1,0,-1,-2,-2,-1,1,0,0,2,1,1,2,0,0,1,-2,-1,2,0,0,0,0,-1,2,0,0,1,0,-2,1,-2,1,0,-2,1,2,-2,"Yes","They conflict","Always","Yes, I have friends","More than three times a week","Sometimes",1,1,0,1,2,-2,1,-2,0,1,0,1,1,3.25898
"Female",0,2,-2,-2,1,-2,1,1,0,1,0,1,-1,0,1,0,0,0,0,0,-2,0,-2,0,2,-2,-1,1,2,2,-2,1,1,-1,0,0,2,1,0,2,1,0,-2,1,-1,2,0,1,-1,1,1,0,-1,-2,0,2,0,-2,-2,1,2,-2,2,1,0,"No","They complement each other","Rarely","No","More than three times a week","Always",1,1,0,2,2,2,2,0,0,0,1,2,2,-11.6854
"Male",1,1,0,-2,0,0,-2,0,-2,1,0,1,2,1,2,-2,1,-2,-2,2,1,-2,0,2,-2,-2,-2,0,1,0,0,-1,0,1,0,2,1,0,0,0,1,0,1,0,-1,2,0,1,0,1,0,0,-1,-1,1,0,2,0,-2,0,0,0,1,2,0,"Yes","They are separate","Never","Yes, I have family","Rarely","Never",2,1,1,1,1,0,0,-1,0,1,1,1,2,2.76661
"Male",0,1,0,0,1,-1,1,0,-2,1,0,0,0,2,1,2,0,1,2,0,0,-1,2,2,1,-1,0,0,-2,0,-2,0,1,-2,-1,-1,0,1,-2,2,0,2,0,0,-2,0,-2,1,-1,1,1,-2,-2,-2,1,1,1,0,0,0,-2,-1,1,0,0,"Yes","They complement each other","Sometimes","Yes, I have both","At least once a month","Rarely",1,-2,2,-1,0,-1,0,0,1,0,0,0,0,-3.27905
"Female",-1,-1,-1,0,1,0,2,0,1,2,-2,2,-1,-2,0,1,0,-2,1,0,-2,0,-2,-2,2,0,-2,1,1,1,-2,1,1,-1,-1,0,0,1,0,0,0,0,-1,2,-2,1,-2,1,-1,0,0,0,-1,1,1,1,0,-2,-2,2,1,-1,1,0,0,"Yes","They complement each other","Never","Yes, I have both","At least once a month","Always",0,1,2,1,1,1,1,2,0,0,0,1,1,-15.2163
"Male",-1,-1,-1,0,1,-1,1,-2,0,0,0,1,0,1,2,1,1,-2,-2,1,-2,-2,-2,-2,0,-2,-1,1,2,1,1,-2,1,-1,-1,2,0,0,0,-2,1,-2,-1,1,-2,2,1,1,-2,2,2,-1,-1,-2,2,2,2,-2,-2,2,1,0,2,1,2,"Yes","They are separate","Never","Yes, I have both","No","Never",1,0,0,2,1,1,1,0,0,1,0,1,1,0.805069
"Male",1,0,1,2,1,1,0,-2,2,0,1,1,1,0,1,1,0,1,1,-1,2,0,-2,2,-2,0,-2,0,1,0,-2,1,0,-2,0,0,0,1,0,0,1,-2,-2,1,-1,0,-1,0,0,-2,1,0,0,1,-2,1,-2,0,0,2,1,-1,0,1,0,"No","They are separate","Sometimes","Yes, I have family","More than three times a week","Always",0,2,0,1,1,2,2,1,1,-2,0,1,2,4.74986
"Female",-2,0,1,0,-2,-1,0,0,-1,1,1,0,1,0,-2,0,0,0,-2,0,1,-2,0,-2,0,0,-1,0,-2,0,-2,-1,0,-1,0,0,-1,0,-2,-2,0,-2,0,0,0,0,1,-1,-2,-2,-1,0,1,1,0,0,0,1,1,-2,0,1,0,1,2,"Yes","They complement each other","Never","Yes, I have family","More than three times a week","Rarely",1,0,-2,0,0,1,-1,-2,0,1,0,0,0,-2.92311
"Female",0,-2,-1,1,2,1,2,-2,2,-2,0,1,-1,0,0,1,0,-1,0,1,-2,1,-2,-1,2,2,-2,0,2,1,-2,2,2,-1,-2,0,0,1,-1,-2,2,1,-1,1,1,2,0,2,0,1,0,0,-1,0,2,1,2,-2,-1,1,1,-1,2,1,-1,"Yes","They complement each other","Always","Yes, I have both","At least once a month","Rarely",1,1,2,1,2,2,1,1,1,2,2,1,2,20.7054
"Female",0,2,2,0,1,1,0,0,-2,0,0,-1,2,-2,-2,0,1,2,1,0,1,-2,2,2,-1,-1,1,0,-1,-1,2,-2,-1,1,0,0,2,0,-2,2,-1,2,1,-1,0,0,-2,-1,1,0,0,2,1,2,-2,1,0,2,0,0,0,0,-2,1,-1,"Yes","They are separate","Sometimes","Yes, I have both","At least once a month","Sometimes",1,0,2,0,1,1,1,2,1,0,-2,0,1,-22.8613
"Male",0,-2,-2,0,1,1,2,-2,1,0,-2,2,-1,0,0,0,2,-2,1,1,-1,0,1,1,2,2,-2,0,2,0,0,1,0,-1,0,1,1,0,1,-2,2,0,-2,1,-2,2,-1,2,0,0,1,0,-2,2,2,0,1,-2,0,1,2,-1,1,1,-2,"No","They are separate","Never","Yes, I have family","No","Rarely",1,2,1,1,1,1,0,0,0,2,1,1,1,-8.29833
"Male",-1,-1,-1,0,0,0,-2,-1,-2,-1,-2,0,-1,-2,1,0,-2,-2,-1,1,-2,-2,-2,1,0,0,-1,0,1,-1,-1,-1,-1,-2,-2,1,-2,-1,-2,-2,0,-2,-1,0,-2,2,-1,1,-1,-2,0,-2,0,-2,0,1,1,-2,0,-2,0,-2,1,1,0,"No","They complement each other","Rarely","Yes, I have family","Rarely","Always",0,1,0,1,1,0,0,-2,0,0,2,0,1,-2.53745
"Female",-2,0,0,0,1,0,2,1,-1,-2,-1,0,-2,-2,0,-2,-2,0,0,1,0,-2,1,0,0,-2,0,0,0,-1,-1,-2,0,0,2,1,-2,1,-1,-2,0,-2,-1,0,0,1,-2,0,-1,1,-1,1,-2,2,0,1,0,1,-2,0,0,-1,1,1,-2,"No","They complement each other","Always","Yes, I have family","At least once a month","Sometimes",1,0,1,0,0,0,0,1,1,1,0,1,1,6.27948
"Male",-2,0,1,1,2,1,2,-2,-2,1,2,0,0,0,-2,-2,-1,0,2,0,0,-2,-2,2,2,0,1,0,-1,1,1,1,1,-1,-2,1,0,2,-2,0,2,1,0,1,-2,-1,-1,1,0,0,1,-2,-2,-1,1,1,0,-2,-2,2,1,-1,0,2,1,"No","They complement each other","Sometimes","Yes, I have family","At least once a week","Never",2,1,0,1,2,1,2,0,1,2,1,1,1,-0.711485
"Male",-2,1,2,2,0,0,0,-2,0,2,1,0,2,0,0,0,-1,1,2,0,-2,-2,2,2,1,1,2,2,-2,1,0,1,-1,-2,-1,-1,2,0,1,2,-1,1,0,1,0,2,0,1,0,2,2,0,1,0,2,2,1,1,1,1,1,0,1,2,1,"Yes","They complement each other","Sometimes","Yes, I have family","No","Never",1,2,2,2,2,1,1,1,1,2,0,1,1,-18.3997
"Female",-2,0,0,2,0,1,2,0,0,1,-1,-2,0,0,1,-2,0,-2,0,1,2,1,2,1,-2,-1,0,0,2,1,-1,-2,0,-2,-2,2,1,1,1,0,1,0,1,2,-1,1,1,1,0,-2,-2,0,1,1,-2,2,-2,1,0,2,1,0,1,2,2,"No","They conflict","Rarely","Yes, I have both","At least once a month","Never",2,1,-2,1,1,1,1,1,1,1,-2,2,2,-6.29317
"Female",1,1,1,-2,1,-2,0,1,-1,-1,-1,-2,1,-2,-1,0,1,2,-2,-1,1,-2,1,0,0,-2,2,0,-1,1,1,-2,1,0,2,0,1,0,-1,0,0,2,0,-2,-2,0,-2,-1,2,1,1,0,2,1,0,-2,-2,0,0,0,0,-2,-2,1,0,"Yes","They complement each other","Sometimes","Yes, I have family","No","Sometimes",2,1,0,1,0,-2,0,0,-2,0,0,0,-1,-5.03585
"Male",-2,-2,0,0,1,1,2,0,1,1,-2,2,0,1,-2,0,0,-2,2,1,0,0,0,0,1,1,0,1,0,1,-2,0,2,-2,1,1,0,2,0,1,0,2,-2,0,0,2,-2,2,-2,1,2,0,-2,1,1,2,1,1,-1,2,2,-1,1,0,0,"No","They complement each other","Always","Yes, I have both","At least once a month","Rarely",1,0,1,1,1,1,2,2,2,1,1,1,2,-1.06
"Male",-1,-2,-2,0,1,1,1,0,0,0,0,2,-2,2,1,0,0,-2,1,1,-2,0,-2,1,1,0,-1,1,1,1,-2,2,1,-1,-2,1,0,2,-1,-1,1,1,-1,2,-2,0,0,0,-1,2,1,0,-1,1,1,1,-2,0,-2,0,1,-2,1,2,1,"Yes","They complement each other","Rarely","Yes, I have both","At least once a month","Rarely",1,0,2,1,2,0,2,1,0,1,-2,2,1,6.48479
"Female",-2,0,-2,-2,1,0,0,-2,0,-2,-2,0,2,1,0,1,1,2,1,0,1,-2,1,0,0,0,1,1,2,0,0,-2,1,-1,0,-1,2,1,1,2,0,2,0,-2,0,1,-2,1,-2,2,0,-2,-1,1,1,1,2,1,0,1,1,-2,1,1,-2,"Yes","They are separate","Sometimes","Yes, I have family","At least once a month","Rarely",1,-2,2,2,2,0,0,-1,0,1,2,0,1,-4.08371
"Male",0,0,0,1,1,-2,2,1,2,1,1,0,-2,0,1,1,0,-2,0,1,-1,1,0,1,1,0,-2,1,2,1,-1,1,0,0,0,1,1,1,-1,-2,2,2,-2,1,-1,1,0,-1,0,-2,0,0,1,-2,1,2,0,-2,-2,2,1,0,2,2,2,"Yes","They conflict","Always","No","At least once a month","Always",1,1,0,2,2,2,2,1,1,0,0,2,1,-3.62338
"Male",-2,0,1,-2,1,0,1,2,1,-2,-2,1,2,0,-2,-1,0,1,0,0,-2,-1,-2,2,1,0,2,-1,0,1,1,2,1,1,2,0,2,2,0,1,1,0,0,1,-2,1,1,0,1,1,0,1,-2,0,1,2,-2,2,-2,2,2,-2,-2,1,0,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a week","Sometimes",2,1,2,1,2,0,2,0,-2,0,0,1,2,2.49392
"Male",-1,-1,-1,1,0,1,1,-1,2,0,0,1,-2,1,1,1,-1,-1,0,0,-1,1,-2,0,1,1,-2,0,1,1,-2,1,1,-1,-1,2,-1,2,-2,0,1,-2,-1,2,1,-1,-2,2,-1,2,1,0,0,-1,2,1,0,-2,2,1,1,-1,1,1,2,"Yes","They are separate","Never","Yes, I have family","More than three times a week","Always",2,1,-2,1,1,2,2,2,0,1,0,1,1,-3.73264
"Male",-2,1,-2,1,0,1,2,-2,1,1,0,0,0,1,0,0,0,0,2,0,-2,1,-2,1,2,-2,-2,1,0,2,0,1,1,-2,-2,0,1,1,0,2,0,1,-2,0,0,1,-2,1,-1,1,-2,-2,-1,-2,0,2,1,-2,-1,2,1,-1,0,1,0,"No","They complement each other","Rarely","Yes, I have both","At least once a week","Always",1,2,1,1,1,-2,1,-2,0,0,0,0,1,-1.15608
"Female",-2,-1,-2,1,1,-1,2,0,0,0,-2,1,-1,0,1,1,-1,0,2,1,-2,-2,1,1,1,-2,-1,1,0,0,-2,2,0,-1,-2,1,-2,0,-2,-2,1,0,-2,2,-1,-1,-1,0,-1,-2,2,0,0,0,1,0,0,-2,0,0,1,-1,1,2,1,"Yes","They conflict","Sometimes","Yes, I have both","At least once a month","Never",2,0,2,1,1,0,1,2,1,1,1,0,0,2.68952
"Male",-1,-1,-2,2,2,2,1,-1,-1,2,1,0,-1,-2,1,0,-2,0,0,0,-2,0,-1,2,-2,0,-1,0,1,0,-1,1,-1,0,-2,1,-1,1,-2,-1,1,-2,-1,1,1,1,0,0,-1,2,1,-1,0,0,1,1,2,2,0,0,0,-2,2,2,2,"Yes","They complement each other","Sometimes","Yes, I have both","At least once a month","Always",1,1,2,2,2,0,1,2,1,1,2,2,0,11.7102
"Male",-2,1,0,0,0,-1,0,-2,-1,0,0,-2,-2,1,1,0,0,-1,1,1,-1,-2,1,1,1,0,-2,0,0,1,0,-2,-1,-2,-1,0,1,0,0,0,-1,0,-2,0,-1,2,0,1,-1,0,0,-2,-1,0,1,1,0,-1,-2,1,0,-2,0,1,1,"Yes","They complement each other","Sometimes","Yes, I have both","More than three times a week","Never",1,2,1,0,1,-1,0,0,0,-2,0,0,0,-8.41566
"Male",-1,-1,-1,1,0,0,2,-2,1,0,-2,-2,-2,1,0,-2,0,-2,0,1,-1,0,-1,0,0,-2,-1,0,1,1,-2,1,0,0,0,0,-2,0,-1,-1,0,1,-2,0,-1,2,-1,1,0,0,-2,-1,1,1,2,1,0,0,-1,0,0,-1,1,1,-2,"Yes","They conflict","Never","Yes, I have both","At least once a month","Sometimes",0,0,2,1,2,-2,0,1,0,0,0,0,0,21.556
"Female",0,0,0,2,2,2,1,-2,1,1,0,1,0,0,-2,2,1,1,0,1,0,0,-1,1,1,-1,2,2,-2,0,0,1,1,-1,-2,1,0,2,1,-2,0,1,0,1,-2,2,-2,2,-2,2,2,-2,-2,-2,2,2,2,0,0,2,1,-1,1,2,1,"No","They complement each other","Rarely","Yes, I have family","No","Rarely",0,1,2,2,2,2,2,0,2,1,1,2,2,12.5505
"Female",-2,0,1,0,0,-2,0,2,0,-1,-1,1,-1,-2,-2,0,2,2,0,0,-2,-2,0,-2,0,0,0,-1,0,0,-1,-2,0,-1,-2,0,1,0,0,-1,0,-2,-1,0,-2,1,-1,0,0,0,0,0,1,2,1,1,-2,-2,1,0,2,-1,1,2,1,"Yes","They are separate","Sometimes","Yes, I have family","At least once a week","Rarely",1,1,1,1,0,-2,2,0,-2,0,-2,0,-1,-14.6793
